id,cost,cost_1,cost_2,cost1Array,cost2Array,costArray,level,level_building,preview,quality_list,qualityList,reward_list,type,weight,weight_list,weight_list_1,weight_list_2,weight1,weight2,weightList,weightList1,weightList2
4021,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,21,420501|430501|430511|430521|430531|440501|440511|440521|440531|450501|450511|450521|450531,[2|3|4|5],[2|3|4|5],23052|23053|23054|23055,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4022,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,22,420501|430501|430511|430521|430531|440501|440511|440521|440531|450501|450511|450521|450531,[2|3|4|5],[2|3|4|5],23052|23053|23054|23055,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4023,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,23,420601|430601|430611|430621|430631|440601|440611|440621|440631|450601|450611|450621|450631,[2|3|4|5],[2|3|4|5],23062|23063|23064|23065,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4024,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,24,420601|430601|430611|430621|430631|440601|440611|440621|440631|450601|450611|450621|450631,[2|3|4|5],[2|3|4|5],23062|23063|23064|23065,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4025,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,25,420601|430601|430611|430621|430631|440601|440611|440621|440631|450601|450611|450621|450631,[2|3|4|5],[2|3|4|5],23062|23063|23064|23065,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4026,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,26,420601|430601|430611|430621|430631|440601|440611|440621|440631|450601|450611|450621|450631,[2|3|4|5],[2|3|4|5],23062|23063|23064|23065,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4027,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,27,420701|430701|430711|430721|430731|440701|440711|440721|440731|450701|450711|450721|450731,[2|3|4|5],[2|3|4|5],23072|23073|23074|23075,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4028,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,28,420701|430701|430711|430721|430731|440701|440711|440721|440731|450701|450711|450721|450731,[2|3|4|5],[2|3|4|5],23072|23073|23074|23075,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4029,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,29,420701|430701|430711|430721|430731|440701|440711|440721|440731|450701|450711|450721|450731,[2|3|4|5],[2|3|4|5],23072|23073|23074|23075,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4030,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,30,420701|430701|430711|430721|430731|440701|440711|440721|440731|450701|450711|450721|450731,[2|3|4|5],[2|3|4|5],23072|23073|23074|23075,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4031,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,31,420801|430801|430811|430821|430831|440801|440811|440821|440831|450801|450811|450821|450831,[2|3|4|5],[2|3|4|5],23082|23083|23084|23085,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4032,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,32,420801|430801|430811|430821|430831|440801|440811|440821|440831|450801|450811|450821|450831,[2|3|4|5],[2|3|4|5],23082|23083|23084|23085,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4033,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,33,420801|430801|430811|430821|430831|440801|440811|440821|440831|450801|450811|450821|450831,[2|3|4|5],[2|3|4|5],23082|23083|23084|23085,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4034,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,34,420801|430801|430811|430821|430831|440801|440811|440821|440831|450801|450811|450821|450831,[2|3|4|5],[2|3|4|5],23082|23083|23084|23085,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4035,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,35,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4036,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,36,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4037,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,37,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4038,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,38,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4039,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,39,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4040,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,40,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4041,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,41,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4042,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,42,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4043,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,43,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4044,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,44,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4045,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,45,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4046,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,46,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4047,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,47,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4048,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,48,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4049,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,49,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4050,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,50,420901|430901|430911|430921|430931|440901|440911|440921|440931|450901|450911|450921|450931,[2|3|4|5],[2|3|4|5],23092|23093|23094|23095,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
