id,break_level,conversion_rate,cost,costs,decomposed_get,desc,desc_2,desc_parameter,extra,extras,fightforce,pet_break_scale,pet_id,pet_info_scale,pet_lv_max,pet_lv_min,pet_skin_id,quality,scene_scale,show_star,skill,skill_level,special
8511014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840013,1,90,60,56153,4,1,3,[8401301|8401302|8401303|8401304],[4|4|2|0],-1
8511015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840013,1,90,65,56153,4,1,4,[8401301|8401302|8401303|8401304],[4|4|2|0],-1
8511016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840013,1,90,70,56153,4,1,5,[8401301|8401302|8401303|8401304],[4|4|3|0],-1
8511017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840013,1,90,75,56153,5,1,0,[8401301|8401302|8401303|8401304],[4|4|3|1],-1
8511018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840013,1,95,80,56153,5,1,1,[8401301|8401302|8401303|8401304],[4|4|3|1],-1
8511019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840013,1,100,80,56153,5,1,2,[8401301|8401302|8401303|8401304],[4|4|3|1],-1
8511020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840013,1,105,85,56153,5,1,3,[8401301|8401302|8401303|8401304],[4|4|3|1],-1
8511021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840013,1,110,85,56153,5,1,4,[8401301|8401302|8401303|8401304],[4|4|3|1],-1
8511022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840013,1,115,90,56153,5,1,5,[8401301|8401302|8401303|8401304],[4|4|3|1],-1
8511023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840013,1,120,95,56154,6,1,0,[8401301|8401302|8401303|8401304],[4|4|3|1],-1
8512005,5,3600,,[],-1,,,,,[],6675,1.2,840014,1.2,35,0,56161,3,1.2,0,[8401401|8401402|8401403|8401404],[1|1|0|0],-1
8512006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1.2,840014,1.2,40,10,56161,3,1.2,1,[8401401|8401402|8401403|8401404],[1|1|0|0],-1
8512007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1.2,840014,1.2,45,20,56161,3,1.2,2,[8401401|8401402|8401403|8401404],[2|1|0|0],-1
8512008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1.2,840014,1.2,50,30,56161,3,1.2,3,[8401401|8401402|8401403|8401404],[2|2|0|0],-1
8512009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1.2,840014,1.2,55,35,56162,3,1.2,4,[8401401|8401402|8401403|8401404],[3|2|0|0],-1
8512010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1.2,840014,1.2,60,40,56162,3,1.2,5,[8401401|8401402|8401403|8401404],[3|3|0|0],-1
8512011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1.2,840014,1.2,70,45,56162,4,1.2,0,[8401401|8401402|8401403|8401404],[3|3|1|0],-1
8512012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1.2,840014,1.2,80,50,56162,4,1.2,1,[8401401|8401402|8401403|8401404],[4|3|1|0],-1
8512013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1.2,840014,1.2,90,55,56163,4,1.2,2,[8401401|8401402|8401403|8401404],[4|3|2|0],-1
8512014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1.2,840014,1.2,90,60,56163,4,1.2,3,[8401401|8401402|8401403|8401404],[4|4|2|0],-1
8512015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1.2,840014,1.2,90,65,56163,4,1.2,4,[8401401|8401402|8401403|8401404],[4|4|2|0],-1
8512016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1.2,840014,1.2,90,70,56163,4,1.2,5,[8401401|8401402|8401403|8401404],[4|4|3|0],-1
8512017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1.2,840014,1.2,90,75,56163,5,1.2,0,[8401401|8401402|8401403|8401404],[4|4|3|1],-1
8512018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1.2,840014,1.2,95,80,56163,5,1.2,1,[8401401|8401402|8401403|8401404],[4|4|3|1],-1
8512019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1.2,840014,1.2,100,80,56163,5,1.2,2,[8401401|8401402|8401403|8401404],[4|4|3|1],-1
8512020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1.2,840014,1.2,105,85,56163,5,1.2,3,[8401401|8401402|8401403|8401404],[4|4|3|1],-1
8512021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1.2,840014,1.2,110,85,56163,5,1.2,4,[8401401|8401402|8401403|8401404],[4|4|3|1],-1
8512022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1.2,840014,1.2,115,90,56163,5,1.2,5,[8401401|8401402|8401403|8401404],[4|4|3|1],-1
8512023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1.2,840014,1.2,120,95,56164,6,1.2,0,[8401401|8401402|8401403|8401404],[4|4|3|1],-1
8513005,5,3600,,[],-1,,,,,[],6675,0.9,840015,0.9,35,0,56171,3,0.9,0,[8401501|8401502|8401503|8401504],[1|1|0|0],-1
8513006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,0.9,840015,0.9,40,10,56171,3,0.9,1,[8401501|8401502|8401503|8401504],[1|1|0|0],-1
8513007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,0.9,840015,0.9,45,20,56171,3,0.9,2,[8401501|8401502|8401503|8401504],[2|1|0|0],-1
8513008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,0.9,840015,0.9,50,30,56171,3,0.9,3,[8401501|8401502|8401503|8401504],[2|2|0|0],-1
8513009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,0.9,840015,0.9,55,35,56172,3,0.9,4,[8401501|8401502|8401503|8401504],[3|2|0|0],-1
8513010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,0.9,840015,0.9,60,40,56172,3,0.9,5,[8401501|8401502|8401503|8401504],[3|3|0|0],-1
8513011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,0.9,840015,0.9,70,45,56172,4,0.9,0,[8401501|8401502|8401503|8401504],[3|3|1|0],-1
8513012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,0.9,840015,0.9,80,50,56172,4,0.9,1,[8401501|8401502|8401503|8401504],[4|3|1|0],-1
8513013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,0.9,840015,0.9,90,55,56173,4,0.9,2,[8401501|8401502|8401503|8401504],[4|3|2|0],-1
8513014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,0.9,840015,0.9,90,60,56173,4,0.9,3,[8401501|8401502|8401503|8401504],[4|4|2|0],-1
8513015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,0.9,840015,0.9,90,65,56173,4,0.9,4,[8401501|8401502|8401503|8401504],[4|4|2|0],-1
8513016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,0.9,840015,0.9,90,70,56173,4,0.9,5,[8401501|8401502|8401503|8401504],[4|4|3|0],-1
8513017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,0.9,840015,0.9,90,75,56173,5,0.9,0,[8401501|8401502|8401503|8401504],[4|4|3|1],-1
8513018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,0.9,840015,0.9,95,80,56173,5,0.9,1,[8401501|8401502|8401503|8401504],[4|4|3|1],-1
8513019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,0.9,840015,0.9,100,80,56173,5,0.9,2,[8401501|8401502|8401503|8401504],[4|4|3|1],-1
8513020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,0.9,840015,0.9,105,85,56173,5,0.9,3,[8401501|8401502|8401503|8401504],[4|4|3|1],-1
8513021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,0.9,840015,0.9,110,85,56173,5,0.9,4,[8401501|8401502|8401503|8401504],[4|4|3|1],-1
8513022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,0.9,840015,0.9,115,90,56173,5,0.9,5,[8401501|8401502|8401503|8401504],[4|4|3|1],-1
8513023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,0.9,840015,0.9,120,95,56174,6,0.9,0,[8401501|8401502|8401503|8401504],[4|4|3|1],-1
851405,5,3600,,[],-1,,,,,[],6675,1.2,840016,1.2,35,0,56181,3,1.2,0,[8401601|8401602|8401603|8401604],[1|1|0|0],-1
851406,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1.2,840016,1.2,40,10,56181,3,1.2,1,[8401601|8401602|8401603|8401604],[1|1|0|0],-1
851407,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1.2,840016,1.2,45,20,56181,3,1.2,2,[8401601|8401602|8401603|8401604],[2|1|0|0],-1
851408,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1.2,840016,1.2,50,30,56181,3,1.2,3,[8401601|8401602|8401603|8401604],[2|2|0|0],-1
851409,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1.2,840016,1.2,55,35,56182,3,1.2,4,[8401601|8401602|8401603|8401604],[3|2|0|0],-1
851410,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1.2,840016,1.2,60,40,56182,3,1.2,5,[8401601|8401602|8401603|8401604],[3|3|0|0],-1
851411,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1.2,840016,1.2,70,45,56182,4,1.2,0,[8401601|8401602|8401603|8401604],[3|3|1|0],-1
851412,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1.2,840016,1.2,80,50,56182,4,1.2,1,[8401601|8401602|8401603|8401604],[4|3|1|0],-1
851413,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1.2,840016,1.2,90,55,56183,4,1.2,2,[8401601|8401602|8401603|8401604],[4|3|2|0],-1
851414,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1.2,840016,1.2,90,60,56183,4,1.2,3,[8401601|8401602|8401603|8401604],[4|4|2|0],-1
851415,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1.2,840016,1.2,90,65,56183,4,1.2,4,[8401601|8401602|8401603|8401604],[4|4|2|0],-1
851416,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1.2,840016,1.2,90,70,56183,4,1.2,5,[8401601|8401602|8401603|8401604],[4|4|3|0],-1
851417,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1.2,840016,1.2,90,75,56183,5,1.2,0,[8401601|8401602|8401603|8401604],[4|4|3|1],-1
851418,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1.2,840016,1.2,95,80,56183,5,1.2,1,[8401601|8401602|8401603|8401604],[4|4|3|1],-1
851419,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1.2,840016,1.2,100,80,56183,5,1.2,2,[8401601|8401602|8401603|8401604],[4|4|3|1],-1
851420,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1.2,840016,1.2,105,85,56183,5,1.2,3,[8401601|8401602|8401603|8401604],[4|4|3|1],-1
851421,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1.2,840016,1.2,110,85,56183,5,1.2,4,[8401601|8401602|8401603|8401604],[4|4|3|1],-1
851422,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1.2,840016,1.2,115,90,56183,5,1.2,5,[8401601|8401602|8401603|8401604],[4|4|3|1],-1
851423,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1.2,840016,1.2,120,95,56184,6,1.2,0,[8401601|8401602|8401603|8401604],[4|4|3|1],-1
