id,attr_1,attr_2,attr_3,attr_4,attr_all_1,attr_all_2,attr_all_3,attr_all_4,attr_special_1,attr_special_2,attr_special_3,attr_special_4,attrAllList,attrList,attrSpecialList,breakCostArr,cost,fightforce,hero,hero_lv_max,hero_lv_max_new,hero_lv_min,hero_lv_min_new,level,player_lv_min
1003112,[3|572],[4|8586],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[32|700],[31|400],[[103|500]|[104|700]],[[3|572]|[4|8586]|[104|0]|[5|100]],[[19|600]|[18|500]|[32|700]|[31|400]],[[999|3|450000]],[999|3|450000],9598,10031,160,2100,160,2100,12,1
1003113,[3|692],[4|10386],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[32|700],[31|700],[[103|600]|[104|700]],[[3|692]|[4|10386]|[104|0]|[5|100]],[[19|600]|[18|600]|[32|700]|[31|700]],[[999|3|670000]],[999|3|670000],11194,10031,170,2200,170,2200,13,1
1003114,[3|840],[4|12613],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[32|900],[31|700],[[103|600]|[104|700]],[[3|840]|[4|12613]|[104|0]|[5|100]],[[19|700]|[18|600]|[32|900]|[31|700]],[[999|3|1000000]],[999|3|1000000],13246,10031,180,2300,180,2300,14,1
1003115,[3|1002],[4|15043],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[32|900],[31|900],[[103|700]|[104|700]],[[3|1002]|[4|15043]|[104|0]|[5|100]],[[19|700]|[18|700]|[32|900]|[31|900]],[[999|3|1500000]],[999|3|1500000],15298,10031,190,2400,190,2400,15,1
1003116,[3|1212],[4|18193],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[32|900],[31|950],[[103|1000]|[104|1000]],[[3|1212]|[4|18193]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|900]|[31|950]],[[999|3|2200000]],[999|3|2200000],18148,10031,200,2500,200,2500,16,1
1003117,[3|1692],[4|25393],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[32|950],[31|950],[[103|1030]|[104|1000]],[[3|1692]|[4|25393]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|950]],[[999|3|6500000]],[999|3|6500000],24988,10031,220,2600,220,2600,17,1
1003118,[3|2232],[4|33493],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[32|950],[31|1000],[[103|1030]|[104|1030]],[[3|2232]|[4|33493]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|1000]],[[999|3|10000000]],[999|3|10000000],32968,10031,240,2700,240,2700,18,1
1003119,[3|2832],[4|42493],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[32|1000],[31|1000],[[103|1050]|[104|1050]],[[3|2832]|[4|42493]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1000]|[31|1000]],[[999|3|10000000]],[999|3|10000000],40948,10031,265,2800,265,2800,19,1
1003120,[3|3432],[4|51493],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[32|1030],[31|1030],[[103|1070]|[104|1070]],[[3|3432]|[4|51493]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1030]|[31|1030]],[[999|3|10000000]],[999|3|10000000],48928,10031,280,2900,99999,2901,20,1
1003201,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[32|0],[31|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[32|0]|[31|0]],[[999|3|450]],[999|3|450],0,10032,20,1000,20,1000,1,1
1003202,[3|18],[4|270],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[32|0],[31|0],[[103|0]|[104|200]],[[3|18]|[4|270]|[104|0]|[5|100]],[[19|100]|[18|0]|[32|0]|[31|0]],[[999|3|600]],[999|3|600],342,10032,30,1100,30,1100,2,1
1003203,[3|41],[4|621],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[32|0],[31|0],[[103|100]|[104|200]],[[3|41]|[4|621]|[104|0]|[5|100]],[[19|100]|[18|100]|[32|0]|[31|0]],[[999|3|3600]],[999|3|3600],785,10032,50,1200,50,1200,3,1
1003204,[3|70],[4|1053],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[32|200],[31|0],[[103|100]|[104|200]],[[3|70]|[4|1053]|[104|0]|[5|100]],[[19|200]|[18|100]|[32|200]|[31|0]],[[999|3|8600]],[999|3|8600],1333,10032,70,1300,70,1300,4,1
1003205,[3|104],[4|1566],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[32|200],[31|200],[[103|200]|[104|200]],[[3|104]|[4|1566]|[104|0]|[5|100]],[[19|200]|[18|200]|[32|200]|[31|200]],[[999|3|18000]],[999|3|18000],1982,10032,90,1400,90,1400,5,1
1003206,[3|144],[4|2160],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[32|200],[31|200],[[103|200]|[104|400]],[[3|144]|[4|2160]|[104|0]|[5|100]],[[19|300]|[18|200]|[32|200]|[31|200]],[[999|3|27000]],[999|3|27000],2736,10032,100,1500,100,1500,6,1
1003207,[3|183],[4|2754],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[32|200],[31|200],[[103|300]|[104|400]],[[3|183]|[4|2754]|[104|0]|[5|100]],[[19|300]|[18|300]|[32|200]|[31|200]],[[999|3|36000]],[999|3|36000],3486,10032,110,1600,110,1600,7,1
1003208,[3|230],[4|3456],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[32|400],[31|200],[[103|300]|[104|400]],[[3|230]|[4|3456]|[104|0]|[5|100]],[[19|400]|[18|300]|[32|400]|[31|200]],[[999|3|55000]],[999|3|55000],4376,10032,120,1700,120,1700,8,1
1003209,[3|284],[4|4266],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[32|400],[31|400],[[103|400]|[104|400]],[[3|284]|[4|4266]|[104|0]|[5|100]],[[19|400]|[18|400]|[32|400]|[31|400]],[[999|3|88000]],[999|3|88000],5266,10032,130,1800,130,1800,9,1
1003210,[3|368],[4|5526],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[32|400],[31|400],[[103|400]|[104|700]],[[3|368]|[4|5526]|[104|0]|[5|100]],[[19|500]|[18|400]|[32|400]|[31|400]],[[999|3|150000]],[999|3|150000],6634,10032,140,1900,140,1900,10,1
1003211,[3|464],[4|6966],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[32|400],[31|400],[[103|500]|[104|700]],[[3|464]|[4|6966]|[104|0]|[5|100]],[[19|500]|[18|500]|[32|400]|[31|400]],[[999|3|270000]],[999|3|270000],8002,10032,150,2000,150,2000,11,1
1003212,[3|572],[4|8586],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[32|700],[31|400],[[103|500]|[104|700]],[[3|572]|[4|8586]|[104|0]|[5|100]],[[19|600]|[18|500]|[32|700]|[31|400]],[[999|3|450000]],[999|3|450000],9598,10032,160,2100,160,2100,12,1
1003213,[3|692],[4|10386],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[32|700],[31|700],[[103|600]|[104|700]],[[3|692]|[4|10386]|[104|0]|[5|100]],[[19|600]|[18|600]|[32|700]|[31|700]],[[999|3|670000]],[999|3|670000],11194,10032,170,2200,170,2200,13,1
1003214,[3|840],[4|12613],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[32|900],[31|700],[[103|600]|[104|700]],[[3|840]|[4|12613]|[104|0]|[5|100]],[[19|700]|[18|600]|[32|900]|[31|700]],[[999|3|1000000]],[999|3|1000000],13246,10032,180,2300,180,2300,14,1
1003215,[3|1002],[4|15043],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[32|900],[31|900],[[103|700]|[104|700]],[[3|1002]|[4|15043]|[104|0]|[5|100]],[[19|700]|[18|700]|[32|900]|[31|900]],[[999|3|1500000]],[999|3|1500000],15298,10032,190,2400,190,2400,15,1
1003216,[3|1212],[4|18193],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[32|900],[31|950],[[103|1000]|[104|1000]],[[3|1212]|[4|18193]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|900]|[31|950]],[[999|3|2200000]],[999|3|2200000],18148,10032,200,2500,200,2500,16,1
1003217,[3|1692],[4|25393],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[32|950],[31|950],[[103|1030]|[104|1000]],[[3|1692]|[4|25393]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|950]],[[999|3|6500000]],[999|3|6500000],24988,10032,220,2600,220,2600,17,1
1003218,[3|2232],[4|33493],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[32|950],[31|1000],[[103|1030]|[104|1030]],[[3|2232]|[4|33493]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|1000]],[[999|3|10000000]],[999|3|10000000],32968,10032,240,2700,240,2700,18,1
1003219,[3|2832],[4|42493],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[32|1000],[31|1000],[[103|1050]|[104|1050]],[[3|2832]|[4|42493]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1000]|[31|1000]],[[999|3|10000000]],[999|3|10000000],40948,10032,265,2800,265,2800,19,1
1003220,[3|3432],[4|51493],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[32|1030],[31|1030],[[103|1070]|[104|1070]],[[3|3432]|[4|51493]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1030]|[31|1030]],[[999|3|10000000]],[999|3|10000000],48928,10032,280,2900,99999,2901,20,1
1003301,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[32|0],[31|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[32|0]|[31|0]],[[999|3|450]],[999|3|450],0,10033,20,1000,20,1000,1,1
1003302,[3|32],[4|216],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[32|0],[31|0],[[103|0]|[104|200]],[[3|32]|[4|216]|[104|0]|[5|100]],[[19|100]|[18|0]|[32|0]|[31|0]],[[999|3|600]],[999|3|600],344,10033,30,1100,30,1100,2,1
1003303,[3|74],[4|496],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[32|0],[31|0],[[103|100]|[104|200]],[[3|74]|[4|496]|[104|0]|[5|100]],[[19|100]|[18|100]|[32|0]|[31|0]],[[999|3|3600]],[999|3|3600],792,10033,50,1200,50,1200,3,1
1003304,[3|126],[4|842],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[32|200],[31|0],[[103|100]|[104|200]],[[3|126]|[4|842]|[104|0]|[5|100]],[[19|200]|[18|100]|[32|200]|[31|0]],[[999|3|8600]],[999|3|8600],1346,10033,70,1300,70,1300,4,1
1003305,[3|187],[4|1252],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[32|200],[31|200],[[103|200]|[104|200]],[[3|187]|[4|1252]|[104|0]|[5|100]],[[19|200]|[18|200]|[32|200]|[31|200]],[[999|3|18000]],[999|3|18000],2000,10033,90,1400,90,1400,5,1
1003306,[3|259],[4|1728],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[32|200],[31|200],[[103|200]|[104|400]],[[3|259]|[4|1728]|[104|0]|[5|100]],[[19|300]|[18|200]|[32|200]|[31|200]],[[999|3|27000]],[999|3|27000],2764,10033,100,1500,100,1500,6,1
1003307,[3|330],[4|2203],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[32|200],[31|200],[[103|300]|[104|400]],[[3|330]|[4|2203]|[104|0]|[5|100]],[[19|300]|[18|300]|[32|200]|[31|200]],[[999|3|36000]],[999|3|36000],3523,10033,110,1600,110,1600,7,1
1003308,[3|414],[4|2764],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[32|400],[31|200],[[103|300]|[104|400]],[[3|414]|[4|2764]|[104|0]|[5|100]],[[19|400]|[18|300]|[32|400]|[31|200]],[[999|3|55000]],[999|3|55000],4420,10033,120,1700,120,1700,8,1
1003309,[3|511],[4|3412],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[32|400],[31|400],[[103|400]|[104|400]],[[3|511]|[4|3412]|[104|0]|[5|100]],[[19|400]|[18|400]|[32|400]|[31|400]],[[999|3|88000]],[999|3|88000],5318,10033,130,1800,130,1800,9,1
1003310,[3|663],[4|4420],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[32|400],[31|400],[[103|400]|[104|700]],[[3|663]|[4|4420]|[104|0]|[5|100]],[[19|500]|[18|400]|[32|400]|[31|400]],[[999|3|150000]],[999|3|150000],6702,10033,140,1900,140,1900,10,1
1003311,[3|835],[4|5572],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[32|400],[31|400],[[103|500]|[104|700]],[[3|835]|[4|5572]|[104|0]|[5|100]],[[19|500]|[18|500]|[32|400]|[31|400]],[[999|3|270000]],[999|3|270000],8086,10033,150,2000,150,2000,11,1
1003312,[3|1030],[4|6868],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[32|700],[31|400],[[103|500]|[104|700]],[[3|1030]|[4|6868]|[104|0]|[5|100]],[[19|600]|[18|500]|[32|700]|[31|400]],[[999|3|450000]],[999|3|450000],9698,10033,160,2100,160,2100,12,1
1003313,[3|1246],[4|8308],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[32|700],[31|700],[[103|600]|[104|700]],[[3|1246]|[4|8308]|[104|0]|[5|100]],[[19|600]|[18|600]|[32|700]|[31|700]],[[999|3|670000]],[999|3|670000],11310,10033,170,2200,170,2200,13,1
1003314,[3|1513],[4|10090],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[32|900],[31|700],[[103|600]|[104|700]],[[3|1513]|[4|10090]|[104|0]|[5|100]],[[19|700]|[18|600]|[32|900]|[31|700]],[[999|3|1000000]],[999|3|1000000],13382,10033,180,2300,180,2300,14,1
1003315,[3|1805],[4|12034],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[32|900],[31|900],[[103|700]|[104|700]],[[3|1805]|[4|12034]|[104|0]|[5|100]],[[19|700]|[18|700]|[32|900]|[31|900]],[[999|3|1500000]],[999|3|1500000],15458,10033,190,2400,190,2400,15,1
1003316,[3|2183],[4|14554],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[32|900],[31|950],[[103|1000]|[104|1000]],[[3|2183]|[4|14554]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|900]|[31|950]],[[999|3|2200000]],[999|3|2200000],18338,10033,200,2500,200,2500,16,1
1003317,[3|3047],[4|20314],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[32|950],[31|950],[[103|1030]|[104|1000]],[[3|3047]|[4|20314]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|950]],[[999|3|6500000]],[999|3|6500000],25250,10033,220,2600,220,2600,17,1
1003318,[3|4019],[4|26794],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[32|950],[31|1000],[[103|1030]|[104|1030]],[[3|4019]|[4|26794]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|1000]],[[999|3|10000000]],[999|3|10000000],33314,10033,240,2700,240,2700,18,1
1003319,[3|5099],[4|33994],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[32|1000],[31|1000],[[103|1050]|[104|1050]],[[3|5099]|[4|33994]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1000]|[31|1000]],[[999|3|10000000]],[999|3|10000000],41378,10033,265,2800,265,2800,19,1
1003320,[3|6179],[4|41194],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[32|1030],[31|1030],[[103|1070]|[104|1070]],[[3|6179]|[4|41194]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1030]|[31|1030]],[[999|3|10000000]],[999|3|10000000],49442,10033,280,2900,99999,2901,20,1
1003401,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[28|0],[27|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[28|0]|[27|0]],[[999|3|450]],[999|3|450],0,10034,20,1000,20,1000,1,1
1003402,[3|22],[4|225],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[28|0],[27|0],[[103|0]|[104|200]],[[3|22]|[4|225]|[104|0]|[5|100]],[[19|100]|[18|0]|[28|0]|[27|0]],[[999|3|600]],[999|3|600],313,10034,30,1100,30,1100,2,1
1003403,[3|51],[4|517],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[28|0],[27|0],[[103|100]|[104|200]],[[3|51]|[4|517]|[104|0]|[5|100]],[[19|100]|[18|100]|[28|0]|[27|0]],[[999|3|3600]],[999|3|3600],721,10034,50,1200,50,1200,3,1
1003404,[3|87],[4|877],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[28|200],[27|0],[[103|100]|[104|200]],[[3|87]|[4|877]|[104|0]|[5|100]],[[19|200]|[18|100]|[28|200]|[27|0]],[[999|3|8600]],[999|3|8600],1225,10034,70,1300,70,1300,4,1
1003405,[3|130],[4|1305],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[28|200],[27|200],[[103|200]|[104|200]],[[3|130]|[4|1305]|[104|0]|[5|100]],[[19|200]|[18|200]|[28|200]|[27|200]],[[999|3|18000]],[999|3|18000],1825,10034,90,1400,90,1400,5,1
1003406,[3|180],[4|1800],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[28|200],[27|200],[[103|200]|[104|400]],[[3|180]|[4|1800]|[104|0]|[5|100]],[[19|300]|[18|200]|[28|200]|[27|200]],[[999|3|27000]],[999|3|27000],2520,10034,100,1500,100,1500,6,1
1003407,[3|229],[4|2295],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[28|200],[27|200],[[103|300]|[104|400]],[[3|229]|[4|2295]|[104|0]|[5|100]],[[19|300]|[18|300]|[28|200]|[27|200]],[[999|3|36000]],[999|3|36000],3211,10034,110,1600,110,1600,7,1
1003408,[3|288],[4|2880],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[28|400],[27|200],[[103|300]|[104|400]],[[3|288]|[4|2880]|[104|0]|[5|100]],[[19|400]|[18|300]|[28|400]|[27|200]],[[999|3|55000]],[999|3|55000],4032,10034,120,1700,120,1700,8,1
1003409,[3|355],[4|3555],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[28|400],[27|400],[[103|400]|[104|400]],[[3|355]|[4|3555]|[104|0]|[5|100]],[[19|400]|[18|400]|[28|400]|[27|400]],[[999|3|88000]],[999|3|88000],4849,10034,130,1800,130,1800,9,1
1003410,[3|460],[4|4605],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[28|400],[27|400],[[103|400]|[104|700]],[[3|460]|[4|4605]|[104|0]|[5|100]],[[19|500]|[18|400]|[28|400]|[27|400]],[[999|3|150000]],[999|3|150000],6109,10034,140,1900,140,1900,10,1
1003411,[3|580],[4|5805],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[28|400],[27|400],[[103|500]|[104|700]],[[3|580]|[4|5805]|[104|0]|[5|100]],[[19|500]|[18|500]|[28|400]|[27|400]],[[999|3|270000]],[999|3|270000],7369,10034,150,2000,150,2000,11,1
1003412,[3|715],[4|7155],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[28|700],[27|400],[[103|500]|[104|700]],[[3|715]|[4|7155]|[104|0]|[5|100]],[[19|600]|[18|500]|[28|700]|[27|400]],[[999|3|450000]],[999|3|450000],8839,10034,160,2100,160,2100,12,1
1003413,[3|865],[4|8655],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[28|700],[27|700],[[103|600]|[104|700]],[[3|865]|[4|8655]|[104|0]|[5|100]],[[19|600]|[18|600]|[28|700]|[27|700]],[[999|3|670000]],[999|3|670000],10309,10034,170,2200,170,2200,13,1
1003414,[3|1051],[4|10511],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[28|900],[27|700],[[103|600]|[104|700]],[[3|1051]|[4|10511]|[104|0]|[5|100]],[[19|700]|[18|600]|[28|900]|[27|700]],[[999|3|1000000]],[999|3|1000000],12199,10034,180,2300,180,2300,14,1
1003415,[3|1253],[4|12536],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[28|900],[27|900],[[103|700]|[104|700]],[[3|1253]|[4|12536]|[104|0]|[5|100]],[[19|700]|[18|700]|[28|900]|[27|900]],[[999|3|1500000]],[999|3|1500000],14089,10034,190,2400,190,2400,15,1
1003416,[3|1516],[4|15161],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[28|900],[27|950],[[103|1000]|[104|1000]],[[3|1516]|[4|15161]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|900]|[27|950]],[[999|3|2200000]],[999|3|2200000],16716,10034,200,2500,200,2500,16,1
1003417,[3|2116],[4|21161],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[28|950],[27|950],[[103|1030]|[104|1000]],[[3|2116]|[4|21161]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|950]|[27|950]],[[999|3|6500000]],[999|3|6500000],23016,10034,220,2600,220,2600,17,1
1003418,[3|2791],[4|27911],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[28|950],[27|1000],[[103|1030]|[104|1030]],[[3|2791]|[4|27911]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|950]|[27|1000]],[[999|3|10000000]],[999|3|10000000],30366,10034,240,2700,240,2700,18,1
1003419,[3|3541],[4|35411],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[28|1000],[27|1000],[[103|1050]|[104|1050]],[[3|3541]|[4|35411]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|1000]|[27|1000]],[[999|3|10000000]],[999|3|10000000],37716,10034,265,2800,265,2800,19,1
1003420,[3|4291],[4|42911],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[28|1030],[27|1030],[[103|1070]|[104|1070]],[[3|4291]|[4|42911]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|1030]|[27|1030]],[[999|3|10000000]],[999|3|10000000],45066,10034,280,2900,99999,2901,20,1
1003501,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[30|0],[29|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[30|0]|[29|0]],[[999|3|450]],[999|3|450],0,10035,20,1000,20,1000,1,1
1003502,[3|18],[4|270],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[30|0],[29|0],[[103|0]|[104|200]],[[3|18]|[4|270]|[104|0]|[5|100]],[[19|100]|[18|0]|[30|0]|[29|0]],[[999|3|600]],[999|3|600],342,10035,30,1100,30,1100,2,1
1003503,[3|41],[4|621],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[30|0],[29|0],[[103|100]|[104|200]],[[3|41]|[4|621]|[104|0]|[5|100]],[[19|100]|[18|100]|[30|0]|[29|0]],[[999|3|3600]],[999|3|3600],785,10035,50,1200,50,1200,3,1
1003504,[3|70],[4|1053],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[30|200],[29|0],[[103|100]|[104|200]],[[3|70]|[4|1053]|[104|0]|[5|100]],[[19|200]|[18|100]|[30|200]|[29|0]],[[999|3|8600]],[999|3|8600],1333,10035,70,1300,70,1300,4,1
1003505,[3|104],[4|1566],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[30|200],[29|200],[[103|200]|[104|200]],[[3|104]|[4|1566]|[104|0]|[5|100]],[[19|200]|[18|200]|[30|200]|[29|200]],[[999|3|18000]],[999|3|18000],1982,10035,90,1400,90,1400,5,1
1003506,[3|144],[4|2160],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[30|200],[29|200],[[103|200]|[104|400]],[[3|144]|[4|2160]|[104|0]|[5|100]],[[19|300]|[18|200]|[30|200]|[29|200]],[[999|3|27000]],[999|3|27000],2736,10035,100,1500,100,1500,6,1
1003507,[3|183],[4|2754],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[30|200],[29|200],[[103|300]|[104|400]],[[3|183]|[4|2754]|[104|0]|[5|100]],[[19|300]|[18|300]|[30|200]|[29|200]],[[999|3|36000]],[999|3|36000],3486,10035,110,1600,110,1600,7,1
1003508,[3|230],[4|3456],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[30|400],[29|200],[[103|300]|[104|400]],[[3|230]|[4|3456]|[104|0]|[5|100]],[[19|400]|[18|300]|[30|400]|[29|200]],[[999|3|55000]],[999|3|55000],4376,10035,120,1700,120,1700,8,1
1003509,[3|284],[4|4266],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[30|400],[29|400],[[103|400]|[104|400]],[[3|284]|[4|4266]|[104|0]|[5|100]],[[19|400]|[18|400]|[30|400]|[29|400]],[[999|3|88000]],[999|3|88000],5266,10035,130,1800,130,1800,9,1
1003510,[3|368],[4|5526],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[30|400],[29|400],[[103|400]|[104|700]],[[3|368]|[4|5526]|[104|0]|[5|100]],[[19|500]|[18|400]|[30|400]|[29|400]],[[999|3|150000]],[999|3|150000],6634,10035,140,1900,140,1900,10,1
1003511,[3|464],[4|6966],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[30|400],[29|400],[[103|500]|[104|700]],[[3|464]|[4|6966]|[104|0]|[5|100]],[[19|500]|[18|500]|[30|400]|[29|400]],[[999|3|270000]],[999|3|270000],8002,10035,150,2000,150,2000,11,1
1003512,[3|572],[4|8586],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[30|700],[29|400],[[103|500]|[104|700]],[[3|572]|[4|8586]|[104|0]|[5|100]],[[19|600]|[18|500]|[30|700]|[29|400]],[[999|3|450000]],[999|3|450000],9598,10035,160,2100,160,2100,12,1
1003513,[3|692],[4|10386],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[30|700],[29|700],[[103|600]|[104|700]],[[3|692]|[4|10386]|[104|0]|[5|100]],[[19|600]|[18|600]|[30|700]|[29|700]],[[999|3|670000]],[999|3|670000],11194,10035,170,2200,170,2200,13,1
1003514,[3|840],[4|12613],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[30|900],[29|700],[[103|600]|[104|700]],[[3|840]|[4|12613]|[104|0]|[5|100]],[[19|700]|[18|600]|[30|900]|[29|700]],[[999|3|1000000]],[999|3|1000000],13246,10035,180,2300,180,2300,14,1
1003515,[3|1002],[4|15043],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[30|900],[29|900],[[103|700]|[104|700]],[[3|1002]|[4|15043]|[104|0]|[5|100]],[[19|700]|[18|700]|[30|900]|[29|900]],[[999|3|1500000]],[999|3|1500000],15298,10035,190,2400,190,2400,15,1
1003516,[3|1212],[4|18193],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[30|900],[29|950],[[103|1000]|[104|1000]],[[3|1212]|[4|18193]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|900]|[29|950]],[[999|3|2200000]],[999|3|2200000],18148,10035,200,2500,200,2500,16,1
