id,attribute,attrs,cost,costArr,exclusive_component,index,lv,power,skillArr
1003411,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11034|55],[[2|11034|55]],[1003414|3],10034,11,44803,[[1003414|3]]
1003412,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11034|60],[[2|11034|60]],[1003414|3],10034,12,50516,[[1003414|3]]
1003413,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11034|65],[[2|11034|65]],[1003414|3],10034,13,56244,[[1003414|3]]
1003414,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11034|70],[[2|11034|70]],[1003414|3],10034,14,61951,[[1003414|3]]
1003415,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11034|80],[[2|11034|80]],[1003414|4],10034,15,69917,[[1003414|4]]
1003416,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11034|90],[[2|11034|90]],[1003414|4],10034,16,77840,[[1003414|4]]
1003417,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11034|100],[[2|11034|100]],[1003414|4],10034,17,85808,[[1003414|4]]
1003418,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11034|110],[[2|11034|110]],[1003414|4],10034,18,93732,[[1003414|4]]
1003419,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11034|130],[[2|11034|130]],[1003414|4],10034,19,101675,[[1003414|4]]
1003420,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11034|150],[[2|11034|150]],[1003414|5],10034,20,112800,[[1003414|5]]
1003501,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11035|5],[[2|11035|5]],[1003514|1],10035,1,3176,[[1003514|1]]
1003502,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11035|10],[[2|11035|10]],[1003514|1],10035,2,6355,[[1003514|1]]
1003503,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11035|15],[[2|11035|15]],[1003514|1],10035,3,9535,[[1003514|1]]
1003504,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11035|20],[[2|11035|20]],[1003514|1],10035,4,12712,[[1003514|1]]
1003505,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11035|25],[[2|11035|25]],[1003514|2],10035,5,16831,[[1003514|2]]
1003506,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11035|30],[[2|11035|30]],[1003514|2],10035,6,20970,[[1003514|2]]
1003507,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11035|35],[[2|11035|35]],[1003514|2],10035,7,25112,[[1003514|2]]
1003508,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11035|40],[[2|11035|40]],[1003514|2],10035,8,29229,[[1003514|2]]
1003509,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11035|45],[[2|11035|45]],[1003514|2],10035,9,33370,[[1003514|2]]
1003510,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11035|50],[[2|11035|50]],[1003514|3],10035,10,39075,[[1003514|3]]
1003511,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11035|55],[[2|11035|55]],[1003514|3],10035,11,44803,[[1003514|3]]
1003512,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11035|60],[[2|11035|60]],[1003514|3],10035,12,50516,[[1003514|3]]
1003513,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11035|65],[[2|11035|65]],[1003514|3],10035,13,56244,[[1003514|3]]
1003514,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11035|70],[[2|11035|70]],[1003514|3],10035,14,61951,[[1003514|3]]
1003515,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11035|80],[[2|11035|80]],[1003514|4],10035,15,69917,[[1003514|4]]
1003516,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11035|90],[[2|11035|90]],[1003514|4],10035,16,77840,[[1003514|4]]
1003517,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11035|100],[[2|11035|100]],[1003514|4],10035,17,85808,[[1003514|4]]
1003518,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11035|110],[[2|11035|110]],[1003514|4],10035,18,93732,[[1003514|4]]
1003519,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11035|130],[[2|11035|130]],[1003514|4],10035,19,101675,[[1003514|4]]
1003520,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11035|150],[[2|11035|150]],[1003514|5],10035,20,112800,[[1003514|5]]
1003601,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11036|5],[[2|11036|5]],[1002914|1],10036,1,3176,[[1002914|1]]
1003602,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11036|10],[[2|11036|10]],[1002914|1],10036,2,6355,[[1002914|1]]
1003603,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11036|15],[[2|11036|15]],[1002914|1],10036,3,9535,[[1002914|1]]
1003604,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11036|20],[[2|11036|20]],[1002914|1],10036,4,12712,[[1002914|1]]
1003605,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11036|25],[[2|11036|25]],[1002914|2],10036,5,16831,[[1002914|2]]
1003606,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11036|30],[[2|11036|30]],[1002914|2],10036,6,20970,[[1002914|2]]
1003607,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11036|35],[[2|11036|35]],[1002914|2],10036,7,25112,[[1002914|2]]
1003608,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11036|40],[[2|11036|40]],[1002914|2],10036,8,29229,[[1002914|2]]
1003609,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11036|45],[[2|11036|45]],[1002914|2],10036,9,33370,[[1002914|2]]
1003610,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11036|50],[[2|11036|50]],[1002914|3],10036,10,39075,[[1002914|3]]
1003611,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11036|55],[[2|11036|55]],[1002914|3],10036,11,44803,[[1002914|3]]
1003612,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11036|60],[[2|11036|60]],[1002914|3],10036,12,50516,[[1002914|3]]
1003613,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11036|65],[[2|11036|65]],[1002914|3],10036,13,56244,[[1002914|3]]
1003614,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11036|70],[[2|11036|70]],[1002914|3],10036,14,61951,[[1002914|3]]
1003615,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11036|80],[[2|11036|80]],[1002914|4],10036,15,69917,[[1002914|4]]
1003616,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11036|90],[[2|11036|90]],[1002914|4],10036,16,77840,[[1002914|4]]
1003617,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11036|100],[[2|11036|100]],[1002914|4],10036,17,85808,[[1002914|4]]
1003618,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11036|110],[[2|11036|110]],[1002914|4],10036,18,93732,[[1002914|4]]
1003619,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11036|130],[[2|11036|130]],[1002914|4],10036,19,101675,[[1002914|4]]
1003620,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11036|150],[[2|11036|150]],[1002914|5],10036,20,112800,[[1002914|5]]
1003701,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11037|5],[[2|11037|5]],[1003714|1],10037,1,3176,[[1003714|1]]
1003702,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11037|10],[[2|11037|10]],[1003714|1],10037,2,6355,[[1003714|1]]
1003703,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11037|15],[[2|11037|15]],[1003714|1],10037,3,9535,[[1003714|1]]
1003704,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11037|20],[[2|11037|20]],[1003714|1],10037,4,12712,[[1003714|1]]
1003705,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11037|25],[[2|11037|25]],[1003714|2],10037,5,16831,[[1003714|2]]
1003706,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11037|30],[[2|11037|30]],[1003714|2],10037,6,20970,[[1003714|2]]
1003707,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11037|35],[[2|11037|35]],[1003714|2],10037,7,25112,[[1003714|2]]
1003708,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11037|40],[[2|11037|40]],[1003714|2],10037,8,29229,[[1003714|2]]
1003709,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11037|45],[[2|11037|45]],[1003714|2],10037,9,33370,[[1003714|2]]
1003710,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11037|50],[[2|11037|50]],[1003714|3],10037,10,39075,[[1003714|3]]
1003711,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11037|55],[[2|11037|55]],[1003714|3],10037,11,44803,[[1003714|3]]
1003712,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11037|60],[[2|11037|60]],[1003714|3],10037,12,50516,[[1003714|3]]
1003713,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11037|65],[[2|11037|65]],[1003714|3],10037,13,56244,[[1003714|3]]
1003714,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11037|70],[[2|11037|70]],[1003714|3],10037,14,61951,[[1003714|3]]
1003715,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11037|80],[[2|11037|80]],[1003714|4],10037,15,69917,[[1003714|4]]
1003716,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11037|90],[[2|11037|90]],[1003714|4],10037,16,77840,[[1003714|4]]
1003717,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11037|100],[[2|11037|100]],[1003714|4],10037,17,85808,[[1003714|4]]
1003718,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11037|110],[[2|11037|110]],[1003714|4],10037,18,93732,[[1003714|4]]
1003719,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11037|130],[[2|11037|130]],[1003714|4],10037,19,101675,[[1003714|4]]
1003720,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11037|150],[[2|11037|150]],[1003714|5],10037,20,112800,[[1003714|5]]
1003801,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11038|5],[[2|11038|5]],[1003815|1],10038,1,3176,[[1003815|1]]
1003802,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11038|10],[[2|11038|10]],[1003815|1],10038,2,6355,[[1003815|1]]
1003803,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11038|15],[[2|11038|15]],[1003815|1],10038,3,9535,[[1003815|1]]
1003804,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11038|20],[[2|11038|20]],[1003815|1],10038,4,12712,[[1003815|1]]
1003805,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11038|25],[[2|11038|25]],[1003815|2],10038,5,16831,[[1003815|2]]
1003806,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11038|30],[[2|11038|30]],[1003815|2],10038,6,20970,[[1003815|2]]
1003807,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11038|35],[[2|11038|35]],[1003815|2],10038,7,25112,[[1003815|2]]
1003808,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11038|40],[[2|11038|40]],[1003815|2],10038,8,29229,[[1003815|2]]
1003809,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11038|45],[[2|11038|45]],[1003815|2],10038,9,33370,[[1003815|2]]
1003810,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11038|50],[[2|11038|50]],[1003815|3],10038,10,39075,[[1003815|3]]
1003811,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11038|55],[[2|11038|55]],[1003815|3],10038,11,44803,[[1003815|3]]
1003812,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11038|60],[[2|11038|60]],[1003815|3],10038,12,50516,[[1003815|3]]
1003813,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11038|65],[[2|11038|65]],[1003815|3],10038,13,56244,[[1003815|3]]
1003814,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11038|70],[[2|11038|70]],[1003815|3],10038,14,61951,[[1003815|3]]
1003815,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11038|80],[[2|11038|80]],[1003815|4],10038,15,69917,[[1003815|4]]
1003816,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11038|90],[[2|11038|90]],[1003815|4],10038,16,77840,[[1003815|4]]
1003817,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11038|100],[[2|11038|100]],[1003815|4],10038,17,85808,[[1003815|4]]
1003818,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11038|110],[[2|11038|110]],[1003815|4],10038,18,93732,[[1003815|4]]
1003819,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11038|130],[[2|11038|130]],[1003815|4],10038,19,101675,[[1003815|4]]
1003820,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11038|150],[[2|11038|150]],[1003815|5],10038,20,112800,[[1003815|5]]
1003901,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11039|5],[[2|11039|5]],[1003915|1],10039,1,3176,[[1003915|1]]
1003902,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11039|10],[[2|11039|10]],[1003915|1],10039,2,6355,[[1003915|1]]
1003903,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11039|15],[[2|11039|15]],[1003915|1],10039,3,9535,[[1003915|1]]
1003904,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11039|20],[[2|11039|20]],[1003915|1],10039,4,12712,[[1003915|1]]
1003905,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11039|25],[[2|11039|25]],[1003915|2],10039,5,16831,[[1003915|2]]
1003906,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11039|30],[[2|11039|30]],[1003915|2],10039,6,20970,[[1003915|2]]
1003907,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11039|35],[[2|11039|35]],[1003915|2],10039,7,25112,[[1003915|2]]
1003908,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11039|40],[[2|11039|40]],[1003915|2],10039,8,29229,[[1003915|2]]
1003909,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11039|45],[[2|11039|45]],[1003915|2],10039,9,33370,[[1003915|2]]
1003910,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11039|50],[[2|11039|50]],[1003915|3],10039,10,39075,[[1003915|3]]
1003911,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11039|55],[[2|11039|55]],[1003915|3],10039,11,44803,[[1003915|3]]
1003912,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11039|60],[[2|11039|60]],[1003915|3],10039,12,50516,[[1003915|3]]
1003913,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11039|65],[[2|11039|65]],[1003915|3],10039,13,56244,[[1003915|3]]
1003914,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11039|70],[[2|11039|70]],[1003915|3],10039,14,61951,[[1003915|3]]
1003915,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11039|80],[[2|11039|80]],[1003915|4],10039,15,69917,[[1003915|4]]
1003916,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11039|90],[[2|11039|90]],[1003915|4],10039,16,77840,[[1003915|4]]
1003917,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11039|100],[[2|11039|100]],[1003915|4],10039,17,85808,[[1003915|4]]
1003918,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11039|110],[[2|11039|110]],[1003915|4],10039,18,93732,[[1003915|4]]
1003919,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11039|130],[[2|11039|130]],[1003915|4],10039,19,101675,[[1003915|4]]
1003920,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11039|150],[[2|11039|150]],[1003915|5],10039,20,112800,[[1003915|5]]
1004001,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11040|5],[[2|11040|5]],[1004014|1],10040,1,3176,[[1004014|1]]
1004002,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11040|10],[[2|11040|10]],[1004014|1],10040,2,6355,[[1004014|1]]
1004003,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11040|15],[[2|11040|15]],[1004014|1],10040,3,9535,[[1004014|1]]
1004004,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11040|20],[[2|11040|20]],[1004014|1],10040,4,12712,[[1004014|1]]
1004005,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11040|25],[[2|11040|25]],[1004014|2],10040,5,16831,[[1004014|2]]
1004006,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11040|30],[[2|11040|30]],[1004014|2],10040,6,20970,[[1004014|2]]
1004007,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11040|35],[[2|11040|35]],[1004014|2],10040,7,25112,[[1004014|2]]
1004008,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11040|40],[[2|11040|40]],[1004014|2],10040,8,29229,[[1004014|2]]
1004009,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11040|45],[[2|11040|45]],[1004014|2],10040,9,33370,[[1004014|2]]
1004010,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11040|50],[[2|11040|50]],[1004014|3],10040,10,39075,[[1004014|3]]
1004011,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11040|55],[[2|11040|55]],[1004014|3],10040,11,44803,[[1004014|3]]
1004012,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11040|60],[[2|11040|60]],[1004014|3],10040,12,50516,[[1004014|3]]
1004013,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11040|65],[[2|11040|65]],[1004014|3],10040,13,56244,[[1004014|3]]
1004014,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11040|70],[[2|11040|70]],[1004014|3],10040,14,61951,[[1004014|3]]
1004015,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11040|80],[[2|11040|80]],[1004014|4],10040,15,69917,[[1004014|4]]
1004016,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11040|90],[[2|11040|90]],[1004014|4],10040,16,77840,[[1004014|4]]
1004017,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11040|100],[[2|11040|100]],[1004014|4],10040,17,85808,[[1004014|4]]
1004018,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11040|110],[[2|11040|110]],[1004014|4],10040,18,93732,[[1004014|4]]
1004019,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11040|130],[[2|11040|130]],[1004014|4],10040,19,101675,[[1004014|4]]
1004020,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11040|150],[[2|11040|150]],[1004014|5],10040,20,112800,[[1004014|5]]
1004101,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11041|5],[[2|11041|5]],[1004113|1],10041,1,3176,[[1004113|1]]
1004102,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11041|10],[[2|11041|10]],[1004113|1],10041,2,6355,[[1004113|1]]
1004103,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11041|15],[[2|11041|15]],[1004113|1],10041,3,9535,[[1004113|1]]
1004104,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11041|20],[[2|11041|20]],[1004113|1],10041,4,12712,[[1004113|1]]
1004105,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11041|25],[[2|11041|25]],[1004113|2],10041,5,16831,[[1004113|2]]
1004106,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11041|30],[[2|11041|30]],[1004113|2],10041,6,20970,[[1004113|2]]
1004107,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11041|35],[[2|11041|35]],[1004113|2],10041,7,25112,[[1004113|2]]
1004108,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11041|40],[[2|11041|40]],[1004113|2],10041,8,29229,[[1004113|2]]
1004109,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11041|45],[[2|11041|45]],[1004113|2],10041,9,33370,[[1004113|2]]
1004110,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11041|50],[[2|11041|50]],[1004113|3],10041,10,39075,[[1004113|3]]
1004111,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11041|55],[[2|11041|55]],[1004113|3],10041,11,44803,[[1004113|3]]
1004112,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11041|60],[[2|11041|60]],[1004113|3],10041,12,50516,[[1004113|3]]
1004113,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11041|65],[[2|11041|65]],[1004113|3],10041,13,56244,[[1004113|3]]
1004114,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11041|70],[[2|11041|70]],[1004113|3],10041,14,61951,[[1004113|3]]
1004115,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11041|80],[[2|11041|80]],[1004113|4],10041,15,69917,[[1004113|4]]
